title,artist,link
Abstract Composition in Pale Grey (1994),Paula McQue,https://collections.ed.ac.uk/art/record/123338?highlight=*:*
Blackbird on Toys,Gordon Mitchell,https://collections.ed.ac.uk/art/record/22560?highlight=*:*
Two Standing Male Nudes (24 JAN 1951),Norma G Reid,https://collections.ed.ac.uk/art/record/21393?highlight=*:*
Portrait of Andrew Gorrie (1964),Joyce M Cumming,https://collections.ed.ac.uk/art/record/21347?highlight=*:*
Unknown,Jeffery Camp,https://collections.ed.ac.uk/art/record/50564?highlight=*:*
Gem cabinet 5 (of 6) containing 43 medallions (Unknown),Unknown,https://collections.ed.ac.uk/art/record/20619?highlight=*:*
Portrait of a Man (1968),Doreen Turner,https://collections.ed.ac.uk/art/record/21271?highlight=*:*
Still Life and Boat at Sea (1961),Vivien Alexander,https://collections.ed.ac.uk/art/record/122849?highlight=*:*
Sunset (1959),Denness Morton,https://collections.ed.ac.uk/art/record/21081?highlight=*:*
Unknown (1961),John Binning,https://collections.ed.ac.uk/art/record/53587?highlight=*:*
Untitled - Woman in Hat with Ribbon (1980),Carolyn S Byres,https://collections.ed.ac.uk/art/record/99426?highlight=*:*
Untitled (1996),Jennifer C. Lindsay,https://collections.ed.ac.uk/art/record/21929?highlight=*:*
Leprosy Capital (Diptych),Paul J Donaldson,https://collections.ed.ac.uk/art/record/21444?highlight=*:*
Interior of Glasshouse at Botanical Gardens (1982),Rena R. Simpson II,https://collections.ed.ac.uk/art/record/99332?highlight=*:*
Untitled (2007),Frea Buckler,https://collections.ed.ac.uk/art/record/99967?highlight=*:*
Seated Female Nude (Circa 1948),Marion M Cooper,https://collections.ed.ac.uk/art/record/122868?highlight=*:*
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)",Anthony J Valentine,https://collections.ed.ac.uk/art/record/99442?highlight=*:*
Jug (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53623?highlight=*:*
Cityscape,Norman Taylor,https://collections.ed.ac.uk/art/record/22582?highlight=*:*
Unknown (1975),Ruth Stiven,https://collections.ed.ac.uk/art/record/50398?highlight=*:*
Unknown,Gordon Anderson,https://collections.ed.ac.uk/art/record/50411?highlight=*:*
